%gen_inp
%ename onionhangul
%cname 洋蔥韓文形碼
%encoding UTF-8
%selkey 1234567890
%keyname begin
a Ａ
b Ｂ
c Ｃ
d Ｄ
e Ｅ
f Ｆ
g Ｇ
h Ｈ
i Ｉ
j Ｊ
k Ｋ
l Ｌ
m Ｍ
n Ｎ
o Ｏ
p Ｐ
q Ｑ
r Ｒ
s Ｓ
t Ｔ
u Ｕ
v Ｖ
w Ｗ
x Ｘ
y Ｙ
z Ｚ
/ /
%keyname end
%chardef begin
/	/
###韓文總起始
##韓文音節HangulSyllables起始
#諺文使用簡根啟始
ykf	갂
ykv	갃
ykk	갅
ykg	갆
ykj	갉
ykn	갊
ykr	갋
ykp	갌
ykt	갍
yki	갎
ywk	갏
ykh	값
ykm	갔
yhf	갞
yhv	갟
yhk	갡
yhg	갢
yhj	갥
yhn	갦
yhr	갧
yhp	갨
yht	갩
yhi	갪
ywh	갫
yhh	갮
yhm	갰
yff	갺
yfv	갻
yfk	갽
yfg	갾
yfj	걁
yfn	걂
yfr	걃
yfp	걄
yft	걅
yfi	걆
ywf	걇
yfh	걊
yfm	걌
yo	걔
yoy	걕
yof	걖
yov	걗
yol	걘
yok	걙
yog	걚
yoc	걛
yos	걜
yoj	걝
yon	걞
yor	걟
yop	걠
yot	걡
yoi	걢
ywo	걣
yoo	걤
yoa	걥
yoh	걦
yob	걧
yom	걨
yoq	걩
you	걪
yod	걫
yoz	걬
yoe	걭
yox	걮
yow	걯
yjf	걲
yjv	걳
yjk	걵
yjg	걶
yjj	걹
yjn	걺
yjr	걻
yjp	걼
yjt	걽
yji	걾
ywj	걿
yjh	겂
yjm	겄
ypf	겎
ypv	겏
ypk	겑
ypg	겒
ypj	겕
ypn	겖
ypr	겗
ypp	겘
ypt	겙
ypi	겚
ywp	겛
yph	겞
ypm	겠
ygf	겪
ygv	겫
ygk	겭
ygg	겮
ygj	겱
ygn	겲
ygr	겳
ygp	겴
ygt	겵
ygi	겶
ywg	겷
ygh	겺
ygm	겼
yq	계
yqy	곅
yqf	곆
yqv	곇
yql	곈
yqk	곉
yqg	곊
yqc	곋
yqs	곌
yqj	곍
yqn	곎
yqr	곏
yqp	곐
yqt	곑
yqi	곒
ywq	곓
yqo	곔
yqa	곕
yqh	곖
yqb	곗
yqm	곘
yqq	곙
yqu	곚
yqd	곛
yqz	곜
yqe	곝
yqx	곞
yqw	곟
ynf	곢
ynv	곣
ynk	곥
yng	곦
ynj	곩
ynn	곪
ynr	곫
ynp	곬
ynt	곭
yni	곮
ywn	곯
ynh	곲
ynm	곴
ye	과
yey	곽
yef	곾
yev	곿
yel	관
yek	괁
yeg	괂
yec	괃
yes	괄
yej	괅
yen	괆
yer	괇
yep	괈
yet	괉
yei	괊
ywe	괋
yeo	괌
yea	괍
yeh	괎
yeb	괏
yem	괐
yeq	광
yeu	괒
yed	괓
yez	괔
yee	괕
yex	괖
yew	괗
ys	괘
ysy	괙
ysf	괚
ysv	괛
ysl	괜
ysk	괝
ysg	괞
ysc	괟
yss	괠
ysj	괡
ysn	괢
ysr	괣
ysp	괤
yst	괥
ysi	괦
yws	괧
yso	괨
ysa	괩
ysh	괪
ysb	괫
ysm	괬
ysq	괭
ysu	괮
ysd	괯
ysz	괰
yse	괱
ysx	괲
ysw	괳
yx	괴
yxy	괵
yxf	괶
yxv	괷
yxl	괸
yxk	괹
yxg	괺
yxc	괻
yxs	괼
yxj	괽
yxn	괾
yxr	괿
yxp	굀
yxt	굁
yxi	굂
ywx	굃
yxo	굄
yxa	굅
yxh	굆
yxb	굇
yxm	굈
yxq	굉
yxu	굊
yxd	굋
yxz	굌
yxe	굍
yxx	굎
yxw	굏
ymf	굒
ymv	굓
ymk	굕
ymg	굖
ymj	굙
ymn	굚
ymr	굛
ymp	굜
ymt	굝
ymi	굞
ywm	굟
ymh	굢
ymm	굤
ytf	굮
ytv	굯
ytk	굱
ytg	굲
ytj	굵
ytn	굶
ytr	굷
ytp	굸
ytt	굹
yti	굺
ywt	굻
yth	굾
ytm	궀
ya	궈
yay	궉
yaf	궊
yav	궋
yal	권
yak	궍
yag	궎
yac	궏
yas	궐
yaj	궑
yan	궒
yar	궓
yap	궔
yat	궕
yai	궖
ywa	궗
yao	궘
yaa	궙
yah	궚
yab	궛
yam	궜
yaq	궝
yau	궞
yad	궟
yaz	궠
yae	궡
yax	궢
yaw	궣
yz	궤
yzy	궥
yzf	궦
yzv	궧
yzl	궨
yzk	궩
yzg	궪
yzc	궫
yzs	궬
yzj	궭
yzn	궮
yzr	궯
yzp	궰
yzt	궱
yzi	궲
ywz	궳
yzo	궴
yza	궵
yzh	궶
yzb	궷
yzm	궸
yzq	궹
yzu	궺
yzd	궻
yzz	궼
yze	궽
yzx	궾
yzw	궿
yd	귀
ydy	귁
ydf	귂
ydv	귃
ydl	귄
ydk	귅
ydg	귆
ydc	귇
yds	귈
ydj	귉
ydn	귊
ydr	귋
ydp	귌
ydt	귍
ydi	귎
ywd	귏
ydo	귐
yda	귑
ydh	귒
ydb	귓
ydm	귔
ydq	귕
ydu	귖
ydd	귗
ydz	귘
yde	귙
ydx	귚
ydw	귛
yrf	귞
yrv	귟
yrk	귡
yrg	귢
yrj	귥
yrn	귦
yrr	귧
yrp	귨
yrt	귩
yri	귪
ywr	귫
yrh	귮
yrm	귰
yvf	귺
yvv	귻
yvk	귽
yvg	귾
yvj	긁
yvn	긂
yvr	긃
yvp	긄
yvt	긅
yvi	긆
ywv	긇
yvh	긊
yvm	긌
yl	긔
yly	긕
ylf	긖
ylv	긗
yll	긘
ylk	긙
ylg	긚
ylc	긛
yls	긜
ylj	긝
yln	긞
ylr	긟
ylp	긠
ylt	긡
yli	긢
ywl	긣
